record_type,entity_id,snapshot_date,student_no,citizen_id,email,mobile,student_name,level,faculty_or_school,program_id,program_name,discipline_cluster,campus,year_of_study,admission_channel,status,gpa,credit_earned,is_international,fact_category,metric_or_item,value,unit,year_or_as_of,doc_title,doc_section,doc_text,doc_type,batch_date,source_system,protection_classification,required_action,task_hint,source_url,source_row_no,behavior_profile,teamwork_style,learning_preference,career_interest,expected_salary_thb,salary_expectation_note,internship_interest,mock_interview_note,rag_document_title,rag_document_text,rag_keywords,rag_sample_question,rag_expected_answer_hint
student,SK0001,2026-06-28,TU202300001,2-1037-17919-13-1,chalisa.panyadee1@student.tu.ac.th,083-147-2297,Chalisa Panyadee,Undergraduate,Faculty of Science and Technology,TU-SCI-UG,Computer Science / Data Science,STEM,Rangsit,2,International Admission,Leave,2.96,23,False,,,,,,,,,,,synthetic_public_training_extract,,,"Use for batch ingestion, quality summary, deduplication, modeling, RAG, and student analytics.",https://www.topuniversities.com/universities/thammasat-university,1,Analytical and structured; validates assumptions before deciding.,"Prefers prototype-first learning, then improves the design.",Visual dashboard and demo,Data Engineer / AI Engineer,34000,Mock salary expectation for workshop scenario; not official salary data.,Business intelligence dashboard,"Chalisa Panyadee is suitable for a mock discussion about data engineer / ai engineer, with behavior focus on: analytical and structured.",Student mock profile - Chalisa Panyadee,"Chalisa Panyadee is a Undergraduate student in Computer Science / Data Science under Faculty of Science and Technology at Rangsit campus. The current academic status is Leave, year of study is 2, GPA is 2.96, and credits earned are 23. The student behavior profile is: Analytical and structured; validates assumptions before deciding. The teamwork style is: Prefers prototype-first learning, then improves the design. Learning preference is Visual dashboard and demo. Career interest is Data Engineer / AI Engineer. Expected salary is 34,000 THB. Internship interest is Business intelligence dashboard. This is synthetic workshop-safe data prepared for RAG demo, student analytics, profile search, and question answering.",Computer Science / Data Science; Faculty of Science and Technology; STEM; Rangsit; Data Engineer / AI Engineer; Business intelligence dashboard; Visual dashboard and demo,What is Chalisa Panyadee's career interest and expected salary?,"Chalisa Panyadee's career interest is Data Engineer / AI Engineer and the mock expected salary is 34,000 THB."
student,SK0002,2026-06-28,TU202600002,3-1074-25838-26-1,fah.wongchai2@student.tu.ac.th,086-194-3594,Fah Wongchai,Undergraduate,Faculty of Journalism and Mass Communication,TU-JC-UG,Media and Digital Communication,Communication,Rangsit,1,TCAS Quota,Active,2.3,60,False,,,,,,,,,,,synthetic_public_training_extract,,,"Use for batch ingestion, quality summary, deduplication, modeling, RAG, and student analytics.",https://www.topuniversities.com/universities/thammasat-university,2,Collaborative and supportive; helps teammates organize work.,"Strong at documentation, meeting notes, and decision tracking.",Experiment-based learning,Digital Analytics / Product Analyst,28500,Mock salary expectation for workshop scenario; not official salary data.,Data governance and quality,"Fah Wongchai is suitable for a mock discussion about digital analytics / product analyst, with behavior focus on: collaborative and supportive.",Student mock profile - Fah Wongchai,"Fah Wongchai is a Undergraduate student in Media and Digital Communication under Faculty of Journalism and Mass Communication at Rangsit campus. The current academic status is Active, year of study is 1, GPA is 2.30, and credits earned are 60. The student behavior profile is: Collaborative and supportive; helps teammates organize work. The teamwork style is: Strong at documentation, meeting notes, and decision tracking. Learning preference is Experiment-based learning. Career interest is Digital Analytics / Product Analyst. Expected salary is 28,500 THB. Internship interest is Data governance and quality. This is synthetic workshop-safe data prepared for RAG demo, student analytics, profile search, and question answering.",Media and Digital Communication; Faculty of Journalism and Mass Communication; Communication; Rangsit; Digital Analytics / Product Analyst; Data governance and quality; Experiment-based learning,What is Fah Wongchai's career interest and expected salary?,"Fah Wongchai's career interest is Digital Analytics / Product Analyst and the mock expected salary is 28,500 THB."
student,SK0003,2026-06-28,TU202400003,4-1111-33757-39-1,garin.charoen3@student.tu.ac.th,089-241-4891,Garin Charoen,Undergraduate,Sirindhorn International Institute of Technology,TU-SIIT-UG,Technology / Engineering,STEM,Rangsit,3,Graduate Admission,Active,2.23,105,False,,,,,,,,,,,synthetic_public_training_extract,,,"Use for batch ingestion, quality summary, deduplication, modeling, RAG, and student analytics.",https://www.topuniversities.com/universities/thammasat-university,3,Curious and experimental; likes to test different solution ideas.,"Good at QA review, output checking, and peer feedback.",Documentation and checklist,Data Engineer / AI Engineer,36500,Mock salary expectation for workshop scenario; not official salary data.,Cloud data engineering,"Garin Charoen is suitable for a mock discussion about data engineer / ai engineer, with behavior focus on: curious and experimental.",Student mock profile - Garin Charoen,"Garin Charoen is a Undergraduate student in Technology / Engineering under Sirindhorn International Institute of Technology at Rangsit campus. The current academic status is Active, year of study is 3, GPA is 2.23, and credits earned are 105. The student behavior profile is: Curious and experimental; likes to test different solution ideas. The teamwork style is: Good at QA review, output checking, and peer feedback. Learning preference is Documentation and checklist. Career interest is Data Engineer / AI Engineer. Expected salary is 36,500 THB. Internship interest is Cloud data engineering. This is synthetic workshop-safe data prepared for RAG demo, student analytics, profile search, and question answering.",Technology / Engineering; Sirindhorn International Institute of Technology; STEM; Rangsit; Data Engineer / AI Engineer; Cloud data engineering; Documentation and checklist,What is Garin Charoen's career interest and expected salary?,"Garin Charoen's career interest is Data Engineer / AI Engineer and the mock expected salary is 36,500 THB."
student,SK0004,2026-06-28,TU202200004,5-1148-41676-52-1,chalisa.sriwilai4@student.tu.ac.th,082-288-6188,Chalisa Sriwilai,Undergraduate,Faculty of Engineering,TU-ENG-UG,Engineering,STEM,Rangsit,3,TCAS Portfolio,Active,3.2,139,False,,,,,,,,,,,synthetic_public_training_extract,,,"Use for batch ingestion, quality summary, deduplication, modeling, RAG, and student analytics.",https://www.topuniversities.com/universities/thammasat-university,4,Detail-oriented; checks edge cases and reconciles numbers.,Good at dividing tasks and helping others unblock issues.,Hands-on coding and debugging,Data Engineer / AI Engineer,41500,Mock salary expectation for workshop scenario; not official salary data.,Analytics product development,"Chalisa Sriwilai is suitable for a mock discussion about data engineer / ai engineer, with behavior focus on: detail-oriented.",Student mock profile - Chalisa Sriwilai,"Chalisa Sriwilai is a Undergraduate student in Engineering under Faculty of Engineering at Rangsit campus. The current academic status is Active, year of study is 3, GPA is 3.20, and credits earned are 139. The student behavior profile is: Detail-oriented; checks edge cases and reconciles numbers. The teamwork style is: Good at dividing tasks and helping others unblock issues. Learning preference is Hands-on coding and debugging. Career interest is Data Engineer / AI Engineer. Expected salary is 41,500 THB. Internship interest is Analytics product development. This is synthetic workshop-safe data prepared for RAG demo, student analytics, profile search, and question answering.",Engineering; Faculty of Engineering; STEM; Rangsit; Data Engineer / AI Engineer; Analytics product development; Hands-on coding and debugging,What is Chalisa Sriwilai's career interest and expected salary?,"Chalisa Sriwilai's career interest is Data Engineer / AI Engineer and the mock expected salary is 41,500 THB."
student,SK0005,2026-06-28,TU202400005,6-1185-49595-65-1,pimchanok.sukprasert5@student.tu.ac.th,085-335-7485,Pimchanok Sukprasert,Undergraduate,Faculty of Political Science,TU-POLS-UG,Politics and International Relations,Social Science,Tha Phra Chan,4,TCAS Quota,Active,2.49,30,False,,,,,,,,,,,synthetic_public_training_extract,,,"Use for batch ingestion, quality summary, deduplication, modeling, RAG, and student analytics.",https://www.topuniversities.com/universities/thammasat-university,5,Business-focused; explains technical output in simple language.,Learns quickly through examples and short team discussions.,Architecture diagram and walkthrough,Data Governance / Policy Analyst,31500,Mock salary expectation for workshop scenario; not official salary data.,University data service,"Pimchanok Sukprasert is suitable for a mock discussion about data governance / policy analyst, with behavior focus on: business-focused.",Student mock profile - Pimchanok Sukprasert,"Pimchanok Sukprasert is a Undergraduate student in Politics and International Relations under Faculty of Political Science at Tha Phra Chan campus. The current academic status is Active, year of study is 4, GPA is 2.49, and credits earned are 30. The student behavior profile is: Business-focused; explains technical output in simple language. The teamwork style is: Learns quickly through examples and short team discussions. Learning preference is Architecture diagram and walkthrough. Career interest is Data Governance / Policy Analyst. Expected salary is 31,500 THB. Internship interest is University data service. This is synthetic workshop-safe data prepared for RAG demo, student analytics, profile search, and question answering.",Politics and International Relations; Faculty of Political Science; Social Science; Tha Phra Chan; Data Governance / Policy Analyst; University data service; Architecture diagram and walkthrough,What is Pimchanok Sukprasert's career interest and expected salary?,"Pimchanok Sukprasert's career interest is Data Governance / Policy Analyst and the mock expected salary is 31,500 THB."
student,SK0006,2026-06-28,TU202600006,7-1222-57514-78-1,fah.sukprasert6@student.tu.ac.th,088-382-8782,Fah Sukprasert,Undergraduate,Faculty of Public Health,TU-PH-UG,Public Health,Health,Rangsit,2,Graduate Admission,Active,2.07,96,False,,,,,,,,,,,synthetic_public_training_extract,,,"Use for batch ingestion, quality summary, deduplication, modeling, RAG, and student analytics.",https://www.topuniversities.com/universities/thammasat-university,6,Independent and reliable; documents progress clearly.,Works best with clear acceptance criteria and shared task board.,Business case discussion,Health Data Analyst,33500,Mock salary expectation for workshop scenario; not official salary data.,Customer or student analytics,"Fah Sukprasert is suitable for a mock discussion about health data analyst, with behavior focus on: independent and reliable.",Student mock profile - Fah Sukprasert,"Fah Sukprasert is a Undergraduate student in Public Health under Faculty of Public Health at Rangsit campus. The current academic status is Active, year of study is 2, GPA is 2.07, and credits earned are 96. The student behavior profile is: Independent and reliable; documents progress clearly. The teamwork style is: Works best with clear acceptance criteria and shared task board. Learning preference is Business case discussion. Career interest is Health Data Analyst. Expected salary is 33,500 THB. Internship interest is Customer or student analytics. This is synthetic workshop-safe data prepared for RAG demo, student analytics, profile search, and question answering.",Public Health; Faculty of Public Health; Health; Rangsit; Health Data Analyst; Customer or student analytics; Business case discussion,What is Fah Sukprasert's career interest and expected salary?,"Fah Sukprasert's career interest is Health Data Analyst and the mock expected salary is 33,500 THB."
student,SK0007,2026-06-28,TU202500007,8-1259-65433-91-1,metha.chaiyaporn7@student.tu.ac.th,081-429-1079,Metha Chaiyaporn,Undergraduate,Faculty of Commerce and Accountancy,TU-COM-UG,Accounting / Business Analytics,Business,Rangsit,3,Graduate Admission,Active,2.61,90,False,,,,,,,,,,,synthetic_public_training_extract,,,"Use for batch ingestion, quality summary, deduplication, modeling, RAG, and student analytics.",https://www.topuniversities.com/universities/thammasat-university,7,Presentation-friendly; turns findings into a clear story.,Good bridge between business questions and technical work.,Peer review and feedback,Data Analyst / BI Analyst,32500,Mock salary expectation for workshop scenario; not official salary data.,Banking data platform,"Metha Chaiyaporn is suitable for a mock discussion about data analyst / bi analyst, with behavior focus on: presentation-friendly.",Student mock profile - Metha Chaiyaporn,"Metha Chaiyaporn is a Undergraduate student in Accounting / Business Analytics under Faculty of Commerce and Accountancy at Rangsit campus. The current academic status is Active, year of study is 3, GPA is 2.61, and credits earned are 90. The student behavior profile is: Presentation-friendly; turns findings into a clear story. The teamwork style is: Good bridge between business questions and technical work. Learning preference is Peer review and feedback. Career interest is Data Analyst / BI Analyst. Expected salary is 32,500 THB. Internship interest is Banking data platform. This is synthetic workshop-safe data prepared for RAG demo, student analytics, profile search, and question answering.",Accounting / Business Analytics; Faculty of Commerce and Accountancy; Business; Rangsit; Data Analyst / BI Analyst; Banking data platform; Peer review and feedback,What is Metha Chaiyaporn's career interest and expected salary?,"Metha Chaiyaporn's career interest is Data Analyst / BI Analyst and the mock expected salary is 32,500 THB."
student,SK0008,2026-06-28,TU202300008,1-1296-73352-04-3,sarin.sangthong8@student.tu.ac.th,084-476-2376,Sarin Sangthong,Undergraduate,Sirindhorn International Institute of Technology,TU-SIIT-UG,Technology / Engineering,STEM,Rangsit,3,International Admission,Active,3.35,69,False,,,,,,,,,,,synthetic_public_training_extract,,,"Use for batch ingestion, quality summary, deduplication, modeling, RAG, and student analytics.",https://www.topuniversities.com/universities/thammasat-university,8,Problem-solving oriented; stays calm when data is incomplete.,Comfortable presenting findings and explaining trade-offs.,Step-by-step implementation,Data Engineer / AI Engineer,37500,Mock salary expectation for workshop scenario; not official salary data.,AI application prototype,"Sarin Sangthong is suitable for a mock discussion about data engineer / ai engineer, with behavior focus on: problem-solving oriented.",Student mock profile - Sarin Sangthong,"Sarin Sangthong is a Undergraduate student in Technology / Engineering under Sirindhorn International Institute of Technology at Rangsit campus. The current academic status is Active, year of study is 3, GPA is 3.35, and credits earned are 69. The student behavior profile is: Problem-solving oriented; stays calm when data is incomplete. The teamwork style is: Comfortable presenting findings and explaining trade-offs. Learning preference is Step-by-step implementation. Career interest is Data Engineer / AI Engineer. Expected salary is 37,500 THB. Internship interest is AI application prototype. This is synthetic workshop-safe data prepared for RAG demo, student analytics, profile search, and question answering.",Technology / Engineering; Sirindhorn International Institute of Technology; STEM; Rangsit; Data Engineer / AI Engineer; AI application prototype; Step-by-step implementation,What is Sarin Sangthong's career interest and expected salary?,"Sarin Sangthong's career interest is Data Engineer / AI Engineer and the mock expected salary is 37,500 THB."
student,SK0009,2026-06-28,TU202500009,2-1333-81271-17-3,lalida.sangthong9@student.tu.ac.th,087-523-3673,Lalida Sangthong,Postgraduate,Faculty of Economics,TU-ECON-PG,Economics,Economics,Tha Phra Chan,1,International Admission,Active,3.33,28,False,,,,,,,,,,,synthetic_public_training_extract,,,"Use for batch ingestion, quality summary, deduplication, modeling, RAG, and student analytics.",https://www.topuniversities.com/universities/thammasat-university,9,Analytical and structured; validates assumptions before deciding.,"Prefers prototype-first learning, then improves the design.",Visual dashboard and demo,Data Analyst / BI Analyst,39000,Mock salary expectation for workshop scenario; not official salary data.,Business intelligence dashboard,"Lalida Sangthong is suitable for a mock discussion about data analyst / bi analyst, with behavior focus on: analytical and structured.",Student mock profile - Lalida Sangthong,"Lalida Sangthong is a Postgraduate student in Economics under Faculty of Economics at Tha Phra Chan campus. The current academic status is Active, year of study is 1, GPA is 3.33, and credits earned are 28. The student behavior profile is: Analytical and structured; validates assumptions before deciding. The teamwork style is: Prefers prototype-first learning, then improves the design. Learning preference is Visual dashboard and demo. Career interest is Data Analyst / BI Analyst. Expected salary is 39,000 THB. Internship interest is Business intelligence dashboard. This is synthetic workshop-safe data prepared for RAG demo, student analytics, profile search, and question answering.",Economics; Faculty of Economics; Economics; Tha Phra Chan; Data Analyst / BI Analyst; Business intelligence dashboard; Visual dashboard and demo,What is Lalida Sangthong's career interest and expected salary?,"Lalida Sangthong's career interest is Data Analyst / BI Analyst and the mock expected salary is 39,000 THB."
student,SK0010,2026-06-28,TU202400010,3-1370-89190-30-3,onuma.rattanakul10@student.tu.ac.th,080-570-4970,Onuma Rattanakul,Undergraduate,Faculty of Science and Technology,TU-SCI-UG,Computer Science / Data Science,STEM,Rangsit,3,TCAS Quota,Active,3.13,135,False,,,,,,,,,,,synthetic_public_training_extract,,,"Use for batch ingestion, quality summary, deduplication, modeling, RAG, and student analytics.",https://www.topuniversities.com/universities/thammasat-university,10,Collaborative and supportive; helps teammates organize work.,"Strong at documentation, meeting notes, and decision tracking.",Experiment-based learning,Data Engineer / AI Engineer,41000,Mock salary expectation for workshop scenario; not official salary data.,Data governance and quality,"Onuma Rattanakul is suitable for a mock discussion about data engineer / ai engineer, with behavior focus on: collaborative and supportive.",Student mock profile - Onuma Rattanakul,"Onuma Rattanakul is a Undergraduate student in Computer Science / Data Science under Faculty of Science and Technology at Rangsit campus. The current academic status is Active, year of study is 3, GPA is 3.13, and credits earned are 135. The student behavior profile is: Collaborative and supportive; helps teammates organize work. The teamwork style is: Strong at documentation, meeting notes, and decision tracking. Learning preference is Experiment-based learning. Career interest is Data Engineer / AI Engineer. Expected salary is 41,000 THB. Internship interest is Data governance and quality. This is synthetic workshop-safe data prepared for RAG demo, student analytics, profile search, and question answering.",Computer Science / Data Science; Faculty of Science and Technology; STEM; Rangsit; Data Engineer / AI Engineer; Data governance and quality; Experiment-based learning,What is Onuma Rattanakul's career interest and expected salary?,"Onuma Rattanakul's career interest is Data Engineer / AI Engineer and the mock expected salary is 41,000 THB."
